place.name,place.full_name,user.time_zone,user.location,username,Text,Location Target (Physical) (general),Location Target (Physical) (specific),Location Target (Physical) (unique),Business Target (Physical) (general),Business Target (Physical) (specific),Business Target (Physical) (unique),sentiment_scores
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,selangor,ShaiQa Jim,?üòò @ Surfers Paradise Beach https://t.co/4HTBah18qM,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Wellington,Everywhere,Amy F,// Scenes from yesterday's hike. I headed out to the Lakelands with my parents who leave to live‚Ä¶ https://t.co/fRT3hjQZbW,,,Lakelands,,,,-0.0258
Gold Coast,"Gold Coast, Queensland",Melbourne,,Andre Bezemer,Pulled pork nachos @movieworldaus https://t.co/eVu8wYPzez,Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",,Kuala Lumpur,aisha hilfigerh,"I'm at Surfers Paradise Beach in Surfers Paradise, QLD https://t.co/YWCCSTsXDd",Gold Coast,Suburb,Surfer Paradise,,,,0.8555
Gold Coast,"Gold Coast, Queensland",,"Adelaide, South Australia",Andrew McGiffert,Ahhhhh a giant spider has gotten smile_dave at #draculashauntedhouse @ Draculas Haunted House https://t.co/10VTKvSlVo,,,Draculas Haunted House,Entertainment,theatre,draculas haunted house,-0.4767
Gold Coast,"Gold Coast, Queensland",,Johannesburg and Brisbane,Levelan Maistry,"SEA View.

#Beach #Sea #Summer #Ocean #View #LandScape #Blue #WavesAfterWaves @ Surfers‚Ä¶ https://t.co/oHJ3CEgpbS",Gold Coast,Suburb,Surfer Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,malaysia,Zan Muhd,"Second time. Tak puas katanya (@ Warner Bros. @MovieWorldAus in Oxenford, QLD) https://t.co/kotfj19D5K",Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Movie World,0
Gold Coast,"Gold Coast, Queensland",Perth,Perth West Australia,Trevor O'Sullivan,"A Sky A Day for a year - Day  41
#surfers at surfers #paradise &amp; a #rainbow

#currumbin‚Ä¶ https://t.co/O7KTlEpzh4",Gold Coast,Suburb,Surfer Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",Canberra,Gold Coast / Canberra,Gordon Watson,"I'm at Little Mermaid in Mermaid Beach, Queensland https://t.co/E7bt494tsm",Gold Coast,Suburb,Mermaid Beach,Food and Beverage,Restaurant,Little Mermaid,0
Gold Coast,"Gold Coast, Queensland",Santiago,,Fernanda Daichtman,?üå¥‚òÄÔ∏è?üåª @ Kirra Beach https://t.co/4Ahh0t7F3Q,,,Kirra Beach,,,,0
Gold Coast,"Gold Coast, Queensland",Kuwait,"bayan,kuwait,Melbourne,bendigo",laila Jeragh,"I'm at @AustraliaFair in Southport, QLD https://t.co/ShHoUXH63r",Gold Coast,Suburb,Southport,Shopping,Shopping Centre,Australia Fair,0
Gold Coast,"Gold Coast, Queensland",Singapore,You,R E ‚ñΩ 3,"?ü?¢?ü?†?ü?°?üá¶?üá∫ | #renetravels #fhsgoestogc @ Warner Bros. Movie World - Gold Coast, Australia https://t.co/fYtt9DWNR6",Gold Coast,,warner bros movie world,entertainment,theme park,warner bros movie world,0
Gold Coast,"Gold Coast, Queensland",Urumqi,,ÎÇ®ÌÉúÌòÑ,"sunrise in gold coast, missing this view and the weather ‚õÖÔ∏è @ Coolangatta https://t.co/QrveRd9jki",Gold Coast,Suburb,Coolangatta,,,,-0.296
Gold Coast,"Gold Coast, Queensland",Brasilia,,orlando matheus,"I'm at Lakeside Lodge in Mermaid Waters, QLD https://t.co/cGK0sQsIfx",Gold Coast,Suburb,Mermaid Waters,Accommodation,Hotel and Resort,Lakeside Lodge,0
Gold Coast,"Gold Coast, Queensland",,"Gold Coast, Queensland",AWOL Family,Good morning ?üòÄ #goldcoast #hinterland https://t.co/Wnt1qUyxvA,Gold Coast,Region,Hinterland,,,,0.4404
Gold Coast,"Gold Coast, Queensland",Beijing,"Rainbows, Bunnies and Unicorns",N‚?îDIA,?üèñ @ Gold Coast Surfers Paradise Beach https://t.co/gbxgfHiWJZ,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Kuwait,ÿßŸÑŸÉŸàŸ?ÿ™  ,ÿπÿ®ÿØÿßŸÑŸÑŸá ÿßŸÑŸÇÿ≠ÿµ #17,"?üíô?üíô (@ RACV Royal Pines Resort in Benowa, QLD w/ @itsa3mdo) https://t.co/IEXBX1YaBu",Gold Coast,Suburb,Benowa,Accommodation,Hotel and Resort,Royal Pines Resort,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Burleigh Heads,Terry Tappa Teece,Tappa's Instagram surf report 6/5/16 @ Burleigh Heads Beach https://t.co/0MvtInaurW,,,burleigh heads beach,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Australia",Patrick Considine,Good Morning from the GC. @ Surfers Paradise Queensland Gold Coast https://t.co/DYtaOxCndP,Gold Coast,,Surfer Paradise,,,,0.5387
Gold Coast,"Gold Coast, Queensland",,"Adelaide, South Australia",Timmy,Carn You Kangas #nmfc @ Metricon Stadium (formerly Carrara Stadium) https://t.co/PTpiAi157e,Gold Coast,Suburb,Carrara,Recreation,Sport,AFL,0
Gold Coast,"Gold Coast, Queensland",Bangkok,In surabaya,Theresia veronica,How Great is Our God ?üôè?üôèBeautiful ?üëè @ Dreamworld Australia https://t.co/OEIQipLZOQ,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Dreamworld,0.7351
Gold Coast,"Gold Coast, Queensland",Brisbane,Brisbane Gold Coast Australia,Liz Cantor,"Waking up at @marriottsurfers #longweekendaway ?üòâ #goldcoast 

#goldcoasthotels #waterfalls‚Ä¶ https://t.co/xyozHyUsEz",Gold Coast,Suburb,Surfer Paradise,Accommodation,Hotel and Resort,The Marriott,0
Gold Coast,"Gold Coast, Queensland",Alaska,,Queen_Nadhira,?üå? @ Gold Coast Surfers Paradise Beach https://t.co/anRDo7GpGJ,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Brisbane,"gold coast, australia",Nathan,Fridays ?üòÅ @ Palm Beach Surf Life Saving Club https://t.co/EAkiqEwaZw,Gold Coast,Suburb,Palm Beach,Food and Beverage,Restaurant,Palm Beach Surf Life Saving Club,0
Gold Coast,"Gold Coast, Queensland",Hong Kong,,ISSA,Issa cream all day everyday ?üëÖ @ Dreamworld Australia https://t.co/DwSaD7VWVS,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Dreamworld,0
Gold Coast,"Gold Coast, Queensland",,,water bender,"Weightless//All Time Low @ Movieworld, Goldcoast. Australia https://t.co/ZnkgSFUQ1s",Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Movie World,-0.1366
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast,Simon Backman,Sunset Dives.. Time to get wet ?üëå @ Gold Coast Seaway https://t.co/i9CYMCfyaL,Gold Coast,Suburb,The Spit,,,,0
Gold Coast,"Gold Coast, Queensland",,...I know places...,TŒîLI∆©SŒ®Œ†E     2.0,"Sunset over industrial estate

2/3

#sunset #sun #pretty #beautiful #red #orange #pink #sky‚Ä¶ https://t.co/jVptEVrKf2",,,,,,,0
Gold Coast,"Gold Coast, Queensland",New Caledonia,"Sydney, Australia",Soulla Chamberlain,Sunset beach walk on the #GoldCoast with andreeana and my 2 monkeys. Perfect way to end a‚Ä¶ https://t.co/8CYpXNPckv,Gold Coast,,,,,,0.2859
Gold Coast,"Gold Coast, Queensland",Sri Jayawardenepura,,Charith Kariyawasam,"Burleigh Beach, Gold Coast QLD

#goldcoast #qld #australia #travel #travelgram #beach‚Ä¶ https://t.co/7kloyTIgQ2",Gold Coast,Suburb,Burleigh Heads,,,,0
Gold Coast,"Gold Coast, Queensland",Jakarta,"Jakarta, Indonesia",Maureen Hitipeuw,From where I sit...will go up there to skypoint_au this afternoon. Can't wait! @ Surfers‚Ä¶ https://t.co/u0GshmAclv,,,skypoint,Attraction,,skypoint,0
Gold Coast,"Gold Coast, Queensland",Sydney,"Sydney, New South Wales",Karlee Elisabeth,First day at the theme parks #seaworldnara #seaworldgoldcoast #familyvacay #familyroadtrip‚Ä¶ https://t.co/jiwoq21VDn,Gold Coast,Suburb,Main Beach,Recreation,Themepark and entertainment,Sea World,0
Gold Coast,"Gold Coast, Queensland",Yakutsk,Australia ,Katrina Willis,Good morning Gold Coast. Good morning paradise ‚ù§ 3 days until winter ?üòâ #goldcoast is #paradise‚Ä¶ https://t.co/FPQUJECUj9,Gold Coast,,,,,,0.6184
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),"Los Angeles, CA",MatthewMichaelBrown,Best day of the trip so far! #queensland @ Currumbin Wildlife Sanctuary https://t.co/mTmNGfcSHZ,Gold Coast,Suburb,Currumbin,Recreation,Themepark and entertainment,Currumbin Wildlife Sanctuary,0.3348
Gold Coast,"Gold Coast, Queensland",Quito,"Sydney,Australia #AD",Ahmaaaadddd,"I'm at RACV Royal Pines Resort in Benowa, QLD w/ @_amm11 @zainabalshamali @bu3ashour_ @mmb092 @aaal3jeel @fahadmhm1 https://t.co/4z40f5IOa4",Gold Coast,Suburb,Benowa,Accommodation,Hotel and Resort,Royal Pines Resort,0
Gold Coast,"Gold Coast, Queensland",,Bacolod City,Kenn Manasan,"I'm at Tower Of Terror II in Coomera, QLD https://t.co/4rohnyqjgP https://t.co/n4V8wzeEaz",Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Dreamworld,-0.5267
Gold Coast,"Gold Coast, Queensland",,Australia,Glenn Hunt,#AnzacDay #ElephantRock #Currumbin #Queensland #Australia ¬© Glenn Hunt / #aap #Photojournalism‚Ä¶ https://t.co/YzAuREFs1G,,,Currumbin,Food and Beverage,,elephant rock cafÈ,0
Gold Coast,"Gold Coast, Queensland",Brasilia,,orlando matheus,"I'm at Melody Street in Mermaid Waters, QLD https://t.co/kXESRm1BU1",,,Mermaid Waters,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane, Australia,Bevin Rijkaart,Hinze dam first thing in the morning - not bad ... #goldcoast #hinzedam #firstlight https://t.co/Pl70097Wat,Gold Coast,Area,Hinze Dam,,,,0.431
Gold Coast,"Gold Coast, Queensland",Central Time (US & Canada),"Avila University KC, MO",Marc Wilson,Cheers from the Gold Coast of Australia! https://t.co/elZjgdddKk,Gold Coast,,,,,,0.2627
Gold Coast,"Gold Coast, Queensland",Hobart,"Hobart, Australia",Craig Millsom,"I'm at Lake Orr in Varsity Lakes, QLD https://t.co/MsQ14n2vlh",Gold Coast,Suburb,Varsity Lakes,,,,0
Gold Coast,"Gold Coast, Queensland",,,hennaelena,"#feelingkidsagain 
#adakukesah
#wet&amp;wildgoldcoast @ Wet'n'Wild Gold Coast https://t.co/aKJ79wHY06",Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Wet'n'Wild,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast,Simon Backman,Sunrise on the GC... Great day ahead I feel. #GoldCoast #Sunrise #weekendsunshine https://t.co/5qiQuBtian,Gold Coast,,,,,,0.3125
Gold Coast,"Gold Coast, Queensland",,Bangkok,Thi Thi,Lunch with this view. #yatchclub @ South Port Yacht Club https://t.co/phh2fiUsPv,Gold Coast,Suburb,Southport,Recreation,Sport,Southport Yacht Club,0
Gold Coast,"Gold Coast, Queensland",Adelaide,"Near Adelaide, Australia",Jenno Von Marie,I don't think I'm ogre enough to fit into this. ?üòÇ #Shrek #DreamWorks #Dreamworld #QLD #GoldCoast‚Ä¶ https://t.co/UyVcR22PLK,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Dreamworld,0.1806
Gold Coast,"Gold Coast, Queensland",Brisbane,B R I S B A N E // A U S ,Teigan Ireland ‚òÄÔ∏è,"Maybe we just really like Drake. @ Surfers Paradise, Queensland https://t.co/Yl9a7OPcF6",drake,,,,,,0.5285
Gold Coast,"Gold Coast, Queensland",,"Gold Coast, Queensland",mika‚ô°,MOVIE WORLD?Å´?Çπ?Éó?É©?ÉÉ?Ç∑?É•?É??Ç¶?É≥?ÉÜ?É≥?Åù?Å£?Åè?Ç??Å™?Ç¢?Éà?É©?ÇØ?Ç∑?Éß?É≥?Åå?ÅÇ?Å£?ÅüÔºÅ?Å©?Å£?Å°?ÅåÂÖà?Å´?Åß?Åç?Åü?Çì?Å†?Çç?ÅÜ?üí° https://t.co/pCXK8hsu6S,,,movie world,Entertainment,themepark,movie world,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Queensland Australia,Jonathan Trevithick,@EricIdle not for RT but things to do in Melb.Visit the Gaol and re-enact the Ned Kelly trial.I played @JohnCleese ! https://t.co/gmZqSyJkk3,Melbourne,,,Attraction,cultural attraction,Gaol,0.2627
Gold Coast,"Gold Coast, Queensland",Canberra,Canberra/Melbourne,Mark J,"IM IN MIAMI (BEACH, Gold Coast)",Gold Coast,Suburb,Miami,,,,0
Gold Coast,"Gold Coast, Queensland",Sydney,Australia,Silent Sessions,"@DOYOUYOGA Practicing on the sunny Gold Coast, Australia ?üòÑ",Gold Coast,,,,,,0.4215
Gold Coast,"Gold Coast, Queensland",Singapore,,Karen,Cat Woman in action! #MovieWorld @ Warner Bros. Movie World - Gold‚Ä¶ https://t.co/qgDcyJEi7J,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Movie World,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, QLD",Running Physio,@markbouris just left your #goldcoast event. Was looking fwd 2 learning but disrespected by no ownership of late start-left w colleagues,Gold Coast,,,Event,,,-0.3891
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast,  Qld,  Australia",Mark Rowbotham,Good Morning! #1 #coffee @ Metro Coffee Broadbeach https://t.co/2EHSf8DQrg,Gold Coast,Suburb,Broadbeach,Food and Beverage,CafÈ,Metro Coffee,0.2463
Gold Coast,"Gold Coast, Queensland",,Gold Coast Qld Australia,pamela,Come on sunshine you know you can' happy Tuesday &amp; coffee time' hot chocolate on the other side! https://t.co/uQEwBYvJ67,,,,,,,0.4008
Gold Coast,"Gold Coast, Queensland",Brisbane,where giant spiders eat snakes,TargaryenQueen,Dreamworld with the fam. Squaaaaaaa @ Dreamworld Australia https://t.co/avcHJgSeNj,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Dreamworld,0
Gold Coast,"Gold Coast, Queensland",,Adelaide,Scott Roberts,.@Adelaide_FC great win @MetriconStadium https://t.co/VOjt9o6vMW,Gold Coast,Suburb,Carrara,Recreation,Sport,AFL,0.418
Gold Coast,"Gold Coast, Queensland",Tokyo,Â∫ÉÂ≥∂,?Åæ?Åå?Å∂?Éº,"""We are Supermans!!!""
#movieworld #superman #rollercoaster #dizzy #3boys #sameclothes @ Warner‚Ä¶ https://t.co/6WxLEY910d",Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Movie World,0
Gold Coast,"Gold Coast, Queensland",,,Craig Fraley,Not a bad way to spend the afternoon. #gopro #thesearch #livethesearch @ Greenmount Beach https://t.co/sFkYedB2LB,Gold Coast,Suburb,Coolangatta,,,,-0.2712
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),Astridfit6@gmail.com,AstridFit Nutrition,Just posted a photo @ Miami North Beach https://t.co/dzwFdXi7T5,Gold Coast,Suburb,Miami,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Melbourne,James Crewe,#friyay #justanotherdayinparadise #goodfood #goldcoastlife @ Miami Marketta https://t.co/IX26Yp2Ivb,Gold Coast,Suburb,Miami,Food and Beverage,Markets,Miami Marketta,0
Gold Coast,"Gold Coast, Queensland",London,"Gold Coast, Queensland",Victoria Adams,"Across to South Straddie on a spectacular Autumn morning ?üôå?üèº‚òÄÔ∏è
#sun #bluesky #beach‚Ä¶ https://t.co/1Kz9OfrWqP",Moreton Bay,Island,South Stradbroke Island,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Alexandra Hills, Brisbane",Zeke,?üë´ Ready to get wet n wild! ?üå??üëô?üï∂@anjemua @ Wet'n'Wild Gold Coast https://t.co/QgndaVespp,Gold Coast,Suburb,Oxenford,Recreation,Themepark and entertainment,Wet'n'Wild,0.2099
Gold Coast,"Gold Coast, Queensland",Bogota,Australia,‚ÑìœÖ?∫—îŒπ‚ÑìŒπ,#moon #goldcost #australia @ Broadbeach on the Gold Coast https://t.co/vHovWHQrAv,Gold Coast,Suburb,Broadbeach,,,,0
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,"Johor Bahru, Johor",Paten Eno,"I'm at Paradise Jet Boating in Main Beach, QLD https://t.co/JwKEuvTnyb",Gold Coast,Suburb,Main Beach,Leisure,Boating,Paradise Jet Boating,0.6369
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),"Los Angeles, CA",MatthewMichaelBrown,Brown bear meets Koala bear. #australia @ Currumbin Wildlife Sanctuary https://t.co/y2jAmvsTBt,,,Currumbin Wildlife Sanctuary,attraction,wild life sanctuary,,0
Gold Coast,"Gold Coast, Queensland",Melbourne,"Melbourne, Australia",Madeline Meates,Insta-ception dreamworldau @ Dreamworld Australia https://t.co/Ns7q2dskF3,,,Theme Park,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,,Jude B,"Beam me up?üëΩ I'm ready?üòå?üòâ
#lol #photooftheday #gorgeous #rainbow #doublerainbow #startrek #haha‚Ä¶ https://t.co/LUiWYRHlnZ",,,,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast Australia,Fiona,"@GoldCoastSUNS Super excited to go to today's game,I've been overseas for 4 weeks,missed the footy so much.See you soon",,,,Event,Sport event,footy,0.743
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast Australia,Lisa Moran,#chongco #thai #restaurant and #bar Omg This Thai restaurant is sooo good #traditional #thai‚Ä¶ https://t.co/buopr98Vmo,,,,Food and Beverage,Restaurant,Chong Co Thai Restaurant and Bar,0.4404
Gold Coast,"Gold Coast, Queensland",,Angoul?™me,Sim's,"#beach #goldcoast #palmtrees #hotel #balcony #australia #city @ Gold Coast, Queensland https://t.co/jfnROyBepa",City,Gold Coast,,,,,0
Gold Coast,"Gold Coast, Queensland",Bangkok,,Rony Septiawan,At Sea World ‚Äî https://t.co/nCeiKcHFDk,Gold Coast,Suburb,Main Beach,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",,"Queensland, Australia",Sarah Leigh,On lunch break and found this cute surf club on the beach to have lunch. Very relaxing for the‚Ä¶ https://t.co/t3ZfBmabsT,Beach,,,Food and Beverage,Restaurant,Surf Club,0.5418
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast,  Qld,  Australia",Mark Rowbotham,My Arvo @ Miami / North Burleigh Lookout https://t.co/L3ASHDyr9o,Gold Coast,Suburb,Miami,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Queensland",B4print,"Brilliant afternoon sunset over the Gold Coast today. 

#goldcoast #broadbeach #igersgoldcoast‚Ä¶ https://t.co/eiQ9QVGDen",Gold Coast,Suburb,Broadbeach,,,,0.2929
Gold Coast,"Gold Coast, Queensland",London,"Melbourne, Australia",Emma Louise Edwards,Keeping fit while in Gold Coast to justify the heart attack chocolate abomination I'm going to scoff at @MaxBrennerAUS #yum,City,Gold Coast,Restaurant,Food and Beverage,Restaurant,Max Brenner,-0.1531
Gold Coast,"Gold Coast, Queensland",,"Adelaide, South Australia",Andrew McGiffert,Morning hotel views #goldcoast #weekendgetaway #beach #surfersparadise @ Surfers Paradise Beach https://t.co/JOluSf0nn5,Gold Coast,Suburb,Surfer Paradise,Accommodation,Hotel and resort,,0.6369
Gold Coast,"Gold Coast, Queensland",Singapore,PH,Jigs Sevilla,"I'm at Surfers Paradise in Surfers Paradise, QLD https://t.co/Zv4IhpRRlQ",,,Surfer Paradise,,,,0.8555
Gold Coast,"Gold Coast, Queensland",Brisbane,Runaway Bay,R Marine Crawley,Sheer class backed up by unrivalled performance! #riviera #6000sy #boat #water #fun #cruising‚Ä¶ https://t.co/IkdftP6pDv,,,,retail,boat dealer,riviera,0.0503
Gold Coast,"Gold Coast, Queensland",Brisbane,Australia,thehouseofernestosva,Beautiful #coolangatta on the #goldcoast #beach I love this place. @ Coolangatta  Beach Gold Coast https://t.co/7axhm1Fbif,Gold Coast,Suburb,Coolangatta,,,,0.4221
Gold Coast,"Gold Coast, Queensland",,Singapore,Liu ShuYuan,"We could be heroes, me and you~ @ Warner Bros. Movie World - Gold Coast, Australia https://t.co/slU8WdigOd",Gold Coast,Suburb,Oxenford,,,,0.5106
Gold Coast,"Gold Coast, Queensland",,,Charlotte,"Gold Coast//surfers paradise ?üá¶?üá∫?üèÑ?üèº @ Surfers Paradise, Gold Coast https://t.co/GzHd4becIz",Gold Coast,Suburb,Surfer Paradise,,,,0.8555
Gold Coast,"Gold Coast, Queensland",London,,Alex J. Barton,"Eggs, coffee, Kobo @ Paris Cafe https://t.co/Kyj05pBAgt",,,,Food and Beverage,Restaurant,Paris CafÈ,0
Gold Coast,"Gold Coast, Queensland",Abu Dhabi,Distant shores,Anne Cortes,Loving GC for sure?üëå?üèΩ#bestspot #goldcoast #burleigh #surfing @ Burleigh Heads Beach https://t.co/Wgjjt2bIaM,Gold Coast,Suburb,Burleigh Heads,,,,0.5994
Gold Coast,"Gold Coast, Queensland",,Australia,Sarah Lovai,#GOODMORNING #ocean @ On The Beach - Palm Beach https://t.co/puoWQyinQm,Gold Coast,Suburb,Palm Beach,,,,0
Gold Coast,"Gold Coast, Queensland",Sydney,"Sydney, Australia",Norms,View from my 8th floor hotel room. Pacific Ocean. @ Broadbeach Beach https://t.co/YS4kvZUbhr,Gold Coast,Suburb,Broadbeach,,,,0
Gold Coast,"Gold Coast, Queensland",International Date Line West,Singapore,¬ßw,"Waiting for departure (@ Gold Coast Airport (OOL) - @gcairport in Bilinga, QLD) https://t.co/O0CGCobvPM",Gold Coast,Suburb,Bilinga,Air Transport,Airport,OOL,0
Gold Coast,"Gold Coast, Queensland",Alaska,JadineLand,e i n j h e L,"arrived earlier ?üõ¨?üá¶?üá∫ (@ Gold Coast in Gold Coast, Queensland) https://t.co/6TwTCfwntY",Gold Coast,,,,,,0
Gold Coast,"Gold Coast, Queensland",Quito,Kuwait-Australia.,M.,"I'm at Starbucks in Surfers Paradise, QLD w/ @danah_alshatti https://t.co/FOhFocmwXZ",Gold Coast,Suburb,Surfer Paradise,Food and Beverage,CafÈ,Starbucks,0.6369
Gold Coast,"Gold Coast, Queensland",Brasilia,,orlando matheus,"I'm at Gold Coast - @cityofgoldcoast in Gold Coast, Queensland https://t.co/0yVAQtSOKk",City,Gold Coast,,,,,0
Gold Coast,"Gold Coast, Queensland",Alaska,Singapore,Michelle Ng ‚ô•,Just posted a photo @ Six Senses Mountain Resort Gold Coast Hinterland https://t.co/yXngQWPWDb,Gold Coast,Suburb,Willowvale,Accommodation,Hotel and Resort,Six Senses Mountain Resort ,0
Gold Coast,"Gold Coast, Queensland",Auckland,online,Ë∂Ö?Ç§?Ç±?É°?É≥?Åß?ÅôÔºÅ,Japanese food again! This time at the Gold Coast ?üèÑ @ Amimoto Japanese Restaurant https://t.co/9t3NT3Y7y2,Gold Coast,Suburb,Surfer Paradise,Food and Beverage,Restaurant,Amimoto Japanese Restaurant,0
Gold Coast,"Gold Coast, Queensland",Brisbane,gold coast,rob treloar,Well went to @harbourtowngc must say what a waste of $$ 20mill n part of new shops r 3 the relocated from other areas only good shop Lindt,,,,retail,shopping centre,harbour town,0.296
Gold Coast,"Gold Coast, Queensland",Sydney,"Queensland, Australia",James Fewtrell,.@originalfrazzel @sanctuarycove @Queensland It was a perfect Summers day! ‚òÄÔ∏è,Gold Coast,Suburb,Sanctuary Cove,,,,0.2038
Gold Coast,"Gold Coast, Queensland",Melbourne,"Torquay, Victoria, Australia",Nancy Alford,#goldcoast #surfersparadise #holiday #wishyouwerehere #iphonepic  #dusk #sunset #lifeguard https://t.co/uvXtMjB6cR,Gold Coast,Suburb,Surfer Paradise,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Lockyer Valley ,Bek,"Let's go Broncos (@ Cbus Super Stadium in Robina, QLD) https://t.co/SNJu89BtTA",Gold Coast,Suburb,Robina,Recreation,Sports and events,Rugby match,0.5994
Gold Coast,"Gold Coast, Queensland",Singapore,Singapore,Kady,"Joker's lair. 
#HCDKdownunder #austrippin @ Warner Bros. Movie World‚Ä¶ https://t.co/RFB7UHeGrS",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",Central Time (US & Canada),Byron Bay,peter brush,Nicky Bomba and his amazing MSO played an incredible show!#melbourneskaorchestra#nightquarter‚Ä¶ https://t.co/fdrkUICEdR,Melbourne,,,Entertainment,Band,Melbourne Ska Orchestra,0.7574
Gold Coast,"Gold Coast, Queensland",Brisbane,The Tardis,The One & Only!,Night out with the girls... ‚ù§Ô∏è #mainbeachgoldcoast #thaieatery #yay #yumyumyum @ Thai Eatery‚Ä¶ https://t.co/uuxXk7k1fa,Gold Coast,Suburb,Main Beach,Food and Beverage,Restaurant,Thai Eatery,0
Gold Coast,"Gold Coast, Queensland",Brasilia,Brasilia,Mr.Evil,"I'm at Gold Coast Airport (OOL) in Bilinga, QLD https://t.co/MthB9dQexx",Gold Coast,Suburb,Bilinga,Air Transport,Airport,OOL,0
Gold Coast,"Gold Coast, Queensland",,"Nobby Beach, QLD 4218",Canvas Espresso,It's friyay! Our favourite! #yesssss #friyay #bestdayever #freakinweekend #canvasespresso @‚Ä¶ https://t.co/GMDNJR1oOZ,Gold Coast,Suburb,Miami,Food and Beverage,CafÈ,Canvas Espresso,0
Gold Coast,"Gold Coast, Queensland",,"Melbourne, Southbank, Kuwait, ",ŸÖÿ™ÿπÿ® ÿßŸÑÿ¨ÿ®ÿßÿ±Ÿ?,"I'm at Surfers Paradise in Surfers Paradise, QLD https://t.co/hGZnRx7qfo",Gold Coast,Suburb,Surfer Paradise,,,,0.8555
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,Indonesia,Phoebe,"Good Morning from  #goldcoast ?üëã?üèª

#phoebelifediaries #phoebetraveldiaries #travel #travelgram‚Ä¶ https://t.co/XbMew2lg97",City,Gold Coast,,,,,0.4404
Gold Coast,"Gold Coast, Queensland",,?Ç™?Éº?Çπ?Éà?É©?É™?Ç¢?ÉªÊó•Êú¨,‰∏∏Â±±Êúã‰πÖ@?Çπ?É??Ç§?É´?É??É??Éâ,Just posted a photo @ Jupiters Gold Coast https://t.co/RQt9mk09ia,Gold Coast,Suburb,Broadbeach,Recreation,Casino,Jupiters Casino,0
Gold Coast,"Gold Coast, Queensland",Brisbane,Brisbane Australia,dodgypete,"I'm at @HiltonHotels in Surfers Paradise, QLD https://t.co/J33KDJzfyI",Gold Coast,Suburb,Surfer Paradise,Accommodation,Hotel and resort,Hilton Hotel,0.6369
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,"3.033118,101.586948",Dennis Yin,"The weather here has been super epic!! Perfect for EVERYTHING!! Sports, Leisure, Pleasure...‚Ä¶ https://t.co/hMQTvXrhGp",,,,Recreation,Sports,,0.4385
Gold Coast,"Gold Coast, Queensland",Yakutsk,Brisbane,Megan Anne,"Back to reality. ?ü?ß @ Burleigh Heads, Queensland https://t.co/CNoVy6SPwt",Gold Coast,Suburb,Burleigh Heads,,,,0
